 B.7 Taxa de trabalho infantil
Taxa de trabalho infantil (%) por Unidade da Federação e Ano
Período:1995-1999, 2001-2006
"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Rondônia";14,11;9,15;12,87;7,55;8,33;7,20;12,82;10,20;20,85;19,91;15,70;13,58
"Acre";17,50;9,16;11,96;13,01;10,74;9,42;14,24;9,92;19,24;19,29;17,87;14,81
"Amazonas";14,71;6,26;8,31;5,39;8,52;6,11;6,80;5,93;10,85;9,56;11,34;8,70
"Roraima";5,77;12,34;7,45;1,15;8,64;5,53;1,57;10,36;10,30;9,52;17,17;8,89
"Pará";18,47;14,90;17,16;21,03;18,22;12,35;11,93;12,44;19,09;17,81;15,80;16,29
"Amapá";8,00;10,00;14,01;8,84;10,86;5,42;3,56;4,28;4,14;6,80;4,32;6,89
"Tocantins";28,75;26,32;24,28;29,35;35,30;21,46;20,46;18,05;16,47;17,80;17,91;23,40
"Maranhão";39,35;32,60;39,40;43,52;36,97;28,90;21,96;19,94;20,52;26,37;19,89;30,12
"Piauí";34,65;26,55;25,00;26,77;31,57;22,19;22,40;22,01;25,67;26,23;19,68;25,81
"Ceará";30,28;25,59;23,63;23,67;25,76;20,22;20,55;21,70;17,02;18,57;18,09;22,26
"Rio Grande do Norte";23,29;17,98;16,81;12,45;12,62;13,06;12,59;12,80;10,43;13,17;11,02;14,30
"Paraíba";29,80;27,99;26,61;21,93;23,05;15,60;20,00;18,71;18,64;20,62;15,64;21,82
"Pernambuco";27,65;22,48;20,81;23,42;22,30;18,79;20,46;18,09;14,83;17,13;16,61;20,28
"Alagoas";22,94;14,45;17,93;16,26;14,36;20,42;17,07;17,68;13,33;14,49;15,71;16,78
"Sergipe";23,58;18,54;22,96;17,97;21,89;14,31;13,51;14,83;9,69;13,73;13,73;16,83
"Bahia";27,18;20,19;23,65;25,44;24,18;20,56;19,40;17,69;17,93;17,86;15,44;21,11
"Minas Gerais";23,13;18,23;19,17;15,73;17,91;14,28;14,07;13,07;9,93;13,09;13,30;15,70
"Espírito Santo";22,57;18,98;19,59;19,27;18,19;16,02;14,19;15,18;13,22;13,06;10,95;16,51
"Rio de Janeiro";7,01;6,54;5,48;4,22;4,09;4,12;4,30;2,70;3,31;4,01;2,73;4,45
"São Paulo";12,39;10,38;9,23;7,58;7,08;6,29;5,84;5,57;5,32;5,05;4,38;7,25
"Paraná";28,90;22,73;21,53;18,40;18,81;15,53;15,35;14,84;14,62;13,12;12,63;17,89
"Santa Catarina";29,81;22,16;20,11;21,35;18,07;16,28;16,23;12,99;15,96;13,28;14,51;18,17
"Rio Grande do Sul";25,03;20,70;20,10;18,14;18,31;16,52;17,88;17,31;16,13;14,18;14,66;18,11
"Mato Grosso do Sul";22,79;21,43;20,29;16,50;18,59;11,59;13,04;8,94;10,29;10,11;9,73;14,79
"Mato Grosso";24,21;21,18;20,75;22,53;24,37;18,07;17,37;12,94;16,47;14,00;13,86;18,61
"Goiás";23,43;16,05;16,98;16,67;14,52;13,16;13,65;10,14;11,27;9,17;9,16;13,92
"Distrito Federal";6,54;5,22;5,95;4,53;4,85;3,42;2,32;2,73;1,15;2,76;2,24;3,75
"Total";21,91;17,57;17,81;17,06;16,99;13,87;13,53;12,57;12,27;12,75;11,73;15,30
 Fonte: IBGE/Pesquisa Nacional por Amostra de Domicílios - PNAD
 Notas:
 
 Taxa de trabalho infantil: Percentual da população de 10 a 15 anos ocupada.
 Até o IDB-2006, a taxa de trabalho infantil era calculada considerando a população de 10 a 14 anos ocupada.
 Até o ano de 2003, informações não disponíveis para a área rural de RO, AC, AM, RR, PA e AP.
 Dados não disponíveis para 2000, tendo em vista que as diferenças entre os planos amostrais do Censo-2000 e da
 PNAD impossibilitam a comparação entre os indicadores obtidos destas fontes.
 Uma vez que a amostra da PNAD não foi desenhada para ser representativa para todas as cores/raças, os indicadores para
 índios e amarelos não devem ser utilizados e os dos pretos devem ser vistos com muita cautela, pois este
 grupo é muito pequeno em alguns estados. Quanto aos brancos e pardos, suas amostras são mais robustas, oferecendo
 maior garantia de uso.
 
