 B.7 Proporção da população de 10 a 15 anos ocupada (Taxa de trabalho infantil)
Prop.pop 10-15 anos ocupada(%) por Unidade da Federação
Período:2012
"Unidade da Federação";"Prop.pop_10-15_anos_ocupada(%)";"Informações Estatísticas"
"Rondônia";10,8;IC=(8,5-13,1)
"Acre";15,2;IC=(8,7-21,8)
"Amazonas";9,3;IC=(6,0-12,6)
"Roraima";*;*
"Pará";11,6;IC=(9,3-14,0)
"Amapá";*;*
"Tocantins";8,5;IC=(6,0-11,1)
"Maranhão";13,1;IC=(10,4-15,8)
"Piauí";15,6;IC=(12,2-18,9)
"Ceará";7,1;IC=(6,0-8,2)
"Rio Grande do Norte";5,6;IC=(3,5-7,7)
"Paraíba";6,7;IC=(4,1-9,3)
"Pernambuco";5,2;IC=(4,0-6,5)
"Alagoas";6,3;IC=(3,7-9,0)
"Sergipe";9,4;IC=(6,3-12,4)
"Bahia";8,8;IC=(7,1-10,4)
"Minas Gerais";7,1;IC=(5,9-8,2)
"Espírito Santo";7,3;IC=(4,9-9,7)
"Rio de Janeiro";1,9;IC=(1,3-2,4)
"São Paulo";3,2;IC=(2,6-3,8)
"Paraná";6,7;IC=(4,8-8,7)
"Santa Catarina";8,1;IC=(6,1-10,0)
"Rio Grande do Sul";7,0;IC=(5,6-8,4)
"Mato Grosso do Sul";6,8;IC=(4,2-9,5)
"Mato Grosso";8,7;IC=(6,8-10,7)
"Goiás";7,0;IC=(5,4-8,7)
"Distrito Federal";*;*
"Total";6,7;IC=(6,3-7,0)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2004-2009, 2011-2013
 Notas:
 
 Proporção da população de 10 a 15 anos ocupada: Percentual da população de 10 a 15 anos ocupada.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Os valores das PNAD 2001 a 2013 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
