 B.7 Taxa de trabalho infantil
Taxa de trabalho infantil (%) por Unidade da Federação e Ano
Período:1991, 2000, 2010
"Unidade da Federação";"1991";"2000";"2010";"Total"
"Rondônia";16,56;17,53;14,28;16,12
"Acre";12,98;12,76;11,26;12,21
"Amazonas";10,49;11,27;11,97;11,33
"Roraima";8,58;10,83;11,68;10,74
"Pará";10,52;13,14;11,96;11,93
"Amapá";8,24;7,32;8,94;8,25
"Tocantins";12,97;18,99;10,31;14,06
"Maranhão";13,19;14,35;10,78;12,77
"Piauí";15,95;14,91;10,50;13,91
"Ceará";15,27;14,18;9,39;12,88
"Rio Grande do Norte";12,11;10,35;7,19;9,86
"Paraíba";16,05;14,48;10,21;13,72
"Pernambuco";13,68;12,97;9,53;12,10
"Alagoas";15,78;14,16;10,44;13,43
"Sergipe";12,86;11,82;9,10;11,21
"Bahia";13,37;14,77;11,91;13,40
"Minas Gerais";15,35;13,68;9,29;12,83
"Espírito Santo";14,13;15,19;10,28;13,22
"Rio de Janeiro";7,79;6,64;5,10;6,49
"São Paulo";13,92;10,51;6,97;10,42
"Paraná";18,03;14,47;11,25;14,61
"Santa Catarina";17,07;15,28;11,92;14,69
"Rio Grande do Sul";14,64;13,48;10,19;12,79
"Mato Grosso do Sul";16,51;14,19;9,58;13,33
"Mato Grosso";16,51;14,82;11,51;14,17
"Goiás";16,28;14,68;11,79;14,15
"Distrito Federal";6,16;5,54;6,59;6,12
"Total";13,89;12,70;9,42;11,99
 Fonte: IBGE. Censos demográficos 1991, 2000 e 2010.
 Notas:
 
 Taxa de trabalho infantil: Percentual da população de 10 a 15 anos ocupada.
 
