ano,codmun,mun,uf,abandono_EF_6ano,abandono_EF_7ano,abandono_EF_8ano,abandono_EF_9ano,abandono_EM
1996,1100015,alta floresta d'oeste,RO,97,60,32,18,79
1996,1100023,ariquemes,RO,314,242,137,96,327
1996,1100031,cabixi,RO,15,12,12,4,2
1996,1100049,cacoal,RO,236,190,125,104,294
1996,1100056,cerejeiras,RO,107,82,43,41,85
1996,1100064,colorado do oeste,RO,147,106,90,51,125
1996,1100072,corumbiara,RO,88,22,11,6,15
1996,1100080,costa marques,RO,42,28,14,16,35
1996,1100098,espigao d'oeste,RO,109,66,50,24,83
1996,1100106,guajara-mirim,RO,235,143,99,76,212
1996,1100114,jaru,RO,307,196,81,75,186
1996,1100122,ji-parana,RO,546,377,257,238,644
1996,1100130,machadinho d'oeste,RO,100,42,25,10,27
1996,1100148,nova brasilandia d'oeste,RO,41,34,28,33,112
1996,1100155,ouro preto do oeste,RO,225,110,94,65,246
1996,1100189,pimenta bueno,RO,181,91,83,78,222
1996,1100205,porto velho,RO,1401,747,523,384,1796
1996,1100254,presidente medici,RO,179,60,47,28,135
1996,1100262,rio crespo,RO,33,12,4,3,0
1996,1100288,rolim de moura,RO,298,196,159,88,175
1996,1100296,santa luzia d'oeste,RO,71,11,11,9,25
1996,1100304,vilhena,RO,244,194,141,109,299
1996,1100320,sao miguel do guapore,RO,65,40,19,19,38
1996,1100338,nova mamore,RO,93,64,34,10,60
1996,1100346,alvorada d'oeste,RO,91,31,20,12,70
1996,1100379,alto alegre dos parecis,RO,30,10,6,3,0
1996,1100403,alto paraiso,RO,8,8,1,4,17
1996,1100452,buritis,RO,39,29,11,3,0
1996,1100502,novo horizonte do oeste,RO,51,13,18,5,29
1996,1100601,cacaulandia,RO,0,0,0,0,15
1996,1100700,campo novo de rondonia,RO,18,23,20,7,21
1996,1100809,candeias do jamari,RO,67,26,23,6,28
1996,1100908,castanheiras,RO,22,5,8,2,16
1996,1100924,chupinguaia,RO,18,24,10,3,0
1996,1100940,cujubim,RO,33,13,14,4,0
1996,1101005,governador jorge teixeira,RO,27,12,9,2,0
1996,1101104,itapua do oeste,RO,57,17,9,2,11
1996,1101203,ministro andreazza,RO,9,13,5,7,16
1996,1101302,mirante da serra,RO,71,54,25,13,32
1996,1101401,monte negro,RO,64,35,27,11,24
1996,1101435,nova uniao,RO,2,9,2,2,0
1996,1101450,parecis,RO,8,2,0,1,0
1996,1101468,pimenteiras do oeste,RO,2,1,0,0,0
1996,1101476,primavera de rondonia,RO,56,13,10,1,0
1996,1101484,sao felipe d oeste,RO,35,23,5,3,23
1996,1101492,sao francisco do guapore,RO,31,24,11,7,27
1996,1101500,seringueiras,RO,59,1,22,2,7
1996,1101559,teixeiropolis,RO,17,3,3,2,0
1996,1101609,theobroma,RO,35,27,9,7,9
1996,1101708,urupa,RO,81,37,9,6,24
1996,1101757,vale do anari,RO,21,8,10,1,0
1996,1101807,vale do paraiso,RO,15,16,12,2,0
1996,1200013,acrelandia,AC,40,14,12,3,23
1996,1200054,assis brasil,AC,9,6,0,1,0
1996,1200104,brasileia,AC,35,13,20,17,86
1996,1200138,bujari,AC,13,13,4,2,9
1996,1200179,capixaba,AC,6,2,1,1,0
1996,1200203,cruzeiro do sul,AC,304,175,188,85,363
1996,1200252,epitaciolandia,AC,75,40,41,21,0
1996,1200302,feijo,AC,45,20,14,14,42
1996,1200328,jordao,AC,6,2,0,0,0
1996,1200336,mancio lima,AC,32,15,25,7,72
1996,1200344,manoel urbano,AC,18,12,3,1,73
1996,1200351,marechal thaumaturgo,AC,9,2,0,1,0
1996,1200385,placido de castro,AC,148,47,47,10,46
1996,1200393,porto walter,AC,17,17,6,1,0
1996,1200401,rio branco,AC,1902,1084,872,580,2035
1996,1200427,rodrigues alves,AC,17,3,3,2,0
1996,1200435,santa rosa do purus,AC,0,1,0,0,0
1996,1200450,senador guiomard,AC,129,52,40,39,90
1996,1200500,sena madureira,AC,184,117,60,52,120
1996,1200609,tarauaca,AC,45,38,13,13,68
1996,1200708,xapuri,AC,39,26,24,5,38
1996,1200807,porto acre,AC,50,15,11,9,0
1996,1300029,alvaraes,AM,51,24,15,23,24
1996,1300060,amatura,AM,43,27,10,7,22
1996,1300086,anama,AM,10,13,11,4,5
1996,1300102,anori,AM,123,60,51,25,35
1996,1300144,apui,AM,32,8,24,7,18
1996,1300201,atalaia do norte,AM,31,15,9,3,10
1996,1300300,autazes,AM,114,75,45,35,57
1996,1300409,barcelos,AM,85,54,38,22,21
1996,1300508,barreirinha,AM,106,50,64,27,73
1996,1300607,benjamin constant,AM,131,65,57,24,36
1996,1300631,beruri,AM,31,22,11,7,14
1996,1300680,boa vista do ramos,AM,48,21,29,6,21
1996,1300706,boca do acre,AM,166,104,74,19,32
1996,1300805,borba,AM,117,71,47,20,81
1996,1300839,caapiranga,AM,11,8,6,3,1
1996,1300904,canutama,AM,38,18,9,4,22
1996,1301001,carauari,AM,107,47,54,17,40
1996,1301100,careiro,AM,100,66,31,11,50
1996,1301159,careiro da varzea,AM,96,49,15,18,24
1996,1301209,coari,AM,240,226,167,130,250
1996,1301308,codajas,AM,55,52,28,26,30
1996,1301407,eirunepe,AM,230,95,71,46,94
1996,1301506,envira,AM,47,28,13,16,23
1996,1301605,fonte boa,AM,78,57,42,11,22
1996,1301654,guajara,AM,48,7,10,4,12
1996,1301704,humaita,AM,198,74,74,63,131
1996,1301803,ipixuna,AM,38,12,14,7,12
