ano,codmun,mun,uf,aprov_reprov_EF_6ano,aprov_reprov_EF_7ano,aprov_reprov_EF_8ano,aprov_reprov_EF_9ano,aprov_reprov_EM
1997,1100015,alta floresta d'oeste,RO,610,471,351,299,655
1997,1100023,ariquemes,RO,1957,1539,894,751,1945
1997,1100031,cabixi,RO,272,162,119,106,97
1997,1100049,cacoal,RO,1536,1237,1025,917,1540
1997,1100056,cerejeiras,RO,756,530,319,93,491
1997,1100064,colorado do oeste,RO,804,682,535,389,756
1997,1100072,corumbiara,RO,227,114,62,64,39
1997,1100080,costa marques,RO,191,189,78,73,116
1997,1100098,espigao d'oeste,RO,536,448,356,279,424
1997,1100106,guajara-mirim,RO,1108,764,509,471,614
1997,1100114,jaru,RO,1420,953,695,514,1150
1997,1100122,ji-parana,RO,3440,2284,1693,1422,2718
1997,1100130,machadinho d'oeste,RO,367,231,167,120,130
1997,1100148,nova brasilandia d'oeste,RO,564,200,148,197,300
1997,1100155,ouro preto do oeste,RO,1210,812,664,506,1103
1997,1100189,pimenta bueno,RO,920,726,518,491,1186
1997,1100205,porto velho,RO,9174,6299,4417,3488,8521
1997,1100254,presidente medici,RO,818,523,392,205,409
1997,1100262,rio crespo,RO,99,73,33,18,55
1997,1100288,rolim de moura,RO,1551,1104,925,736,1500
1997,1100296,santa luzia d'oeste,RO,285,144,132,95,135
1997,1100304,vilhena,RO,1475,1252,902,833,1483
1997,1100320,sao miguel do guapore,RO,178,149,97,104,205
1997,1100338,nova mamore,RO,262,200,113,87,187
1997,1100346,alvorada d'oeste,RO,332,300,190,190,500
1997,1100379,alto alegre dos parecis,RO,282,68,52,33,60
1997,1100403,alto paraiso,RO,340,114,52,71,125
1997,1100452,buritis,RO,214,141,130,76,0
1997,1100502,novo horizonte do oeste,RO,224,165,110,92,120
1997,1100601,cacaulandia,RO,159,54,53,40,59
1997,1100700,campo novo de rondonia,RO,111,60,66,32,88
1997,1100809,candeias do jamari,RO,177,113,102,74,58
1997,1100908,castanheiras,RO,32,31,26,112,80
1997,1100924,chupinguaia,RO,198,88,73,51,54
1997,1100940,cujubim,RO,94,56,32,17,0
1997,1101005,governador jorge teixeira,RO,100,77,72,30,0
1997,1101104,itapua do oeste,RO,119,107,87,60,80
1997,1101203,ministro andreazza,RO,84,72,32,34,22
1997,1101302,mirante da serra,RO,274,225,143,113,317
1997,1101401,monte negro,RO,221,165,132,75,95
1997,1101435,nova uniao,RO,78,63,38,39,0
1997,1101450,parecis,RO,48,41,23,19,0
1997,1101468,pimenteiras do oeste,RO,49,40,29,17,0
1997,1101476,primavera de rondonia,RO,165,152,63,37,43
1997,1101484,sao felipe d oeste,RO,126,137,76,65,63
1997,1101492,sao francisco do guapore,RO,92,77,42,47,48
1997,1101500,seringueiras,RO,175,110,111,111,118
1997,1101559,teixeiropolis,RO,95,36,26,27,0
1997,1101609,theobroma,RO,166,90,65,58,54
1997,1101708,urupa,RO,347,215,125,101,119
1997,1101757,vale do anari,RO,56,39,25,27,0
1997,1101807,vale do paraiso,RO,101,91,49,38,0
1997,1200013,acrelandia,AC,150,108,72,61,154
1997,1200054,assis brasil,AC,59,38,23,21,0
1997,1200104,brasileia,AC,235,198,193,154,367
1997,1200138,bujari,AC,124,52,58,32,54
1997,1200179,capixaba,AC,23,19,13,12,0
1997,1200203,cruzeiro do sul,AC,1527,1364,1016,943,1803
1997,1200252,epitaciolandia,AC,160,96,105,64,19
1997,1200302,feijo,AC,274,206,152,144,310
1997,1200328,jordao,AC,41,10,8,0,0
1997,1200336,mancio lima,AC,220,181,156,147,312
1997,1200344,manoel urbano,AC,70,66,42,36,0
1997,1200351,marechal thaumaturgo,AC,57,32,34,24,0
1997,1200385,placido de castro,AC,345,243,184,106,315
1997,1200393,porto walter,AC,49,40,29,27,0
1997,1200401,rio branco,AC,6315,5096,4003,3589,8085
1997,1200427,rodrigues alves,AC,60,68,31,26,0
1997,1200435,santa rosa do purus,AC,16,7,0,0,0
1997,1200450,senador guiomard,AC,320,265,239,166,310
1997,1200500,sena madureira,AC,412,276,246,223,505
1997,1200609,tarauaca,AC,304,233,216,226,500
