ano,codmun,mun,uf,aprov_reprov_EF_6ano,aprov_reprov_EF_7ano,aprov_reprov_EF_8ano,aprov_reprov_EF_9ano,aprov_reprov_EM
2004,1100015,alta floresta d'oeste,RO,0,0,0,0,1160
2004,1100023,ariquemes,RO,0,0,0,0,2810
2004,1100031,cabixi,RO,0,0,0,0,238
2004,1100049,cacoal,RO,0,0,0,0,2651
2004,1100056,cerejeiras,RO,0,0,0,0,828
2004,1100064,colorado do oeste,RO,0,0,0,0,917
2004,1100072,corumbiara,RO,0,0,0,0,196
2004,1100080,costa marques,RO,0,0,0,0,280
2004,1100098,espigao d'oeste,RO,0,0,0,0,812
2004,1100106,guajara-mirim,RO,0,0,0,0,1303
2004,1100114,jaru,RO,0,0,0,0,1864
2004,1100122,ji-parana,RO,0,0,0,0,4389
2004,1100130,machadinho d'oeste,RO,0,0,0,0,441
2004,1100148,nova brasilandia d'oeste,RO,0,0,0,0,1046
2004,1100155,ouro preto do oeste,RO,0,0,0,0,1224
2004,1100189,pimenta bueno,RO,0,0,0,0,1222
2004,1100205,porto velho,RO,1744,1170,781,634,10868
2004,1100254,presidente medici,RO,0,0,0,0,550
2004,1100262,rio crespo,RO,0,0,0,0,127
2004,1100288,rolim de moura,RO,0,0,0,0,2256
2004,1100296,santa luzia d'oeste,RO,0,0,0,0,448
2004,1100304,vilhena,RO,0,0,0,0,2218
2004,1100320,sao miguel do guapore,RO,0,0,0,0,372
2004,1100338,nova mamore,RO,0,0,0,0,484
2004,1100346,alvorada d'oeste,RO,0,0,0,0,659
2004,1100379,alto alegre dos parecis,RO,0,0,0,0,261
2004,1100403,alto paraiso,RO,0,0,0,0,520
2004,1100452,buritis,RO,0,0,0,0,559
2004,1100502,novo horizonte do oeste,RO,0,0,0,0,483
2004,1100601,cacaulandia,RO,0,0,0,0,153
2004,1100700,campo novo de rondonia,RO,0,0,0,0,134
2004,1100809,candeias do jamari,RO,0,0,0,0,259
2004,1100908,castanheiras,RO,0,0,0,0,161
2004,1100924,chupinguaia,RO,0,0,0,0,200
2004,1100940,cujubim,RO,0,0,0,0,209
2004,1101005,governador jorge teixeira,RO,0,0,0,0,247
2004,1101104,itapua do oeste,RO,0,0,0,0,291
2004,1101203,ministro andreazza,RO,0,0,0,0,217
2004,1101302,mirante da serra,RO,0,0,0,0,506
2004,1101401,monte negro,RO,0,0,0,0,417
2004,1101435,nova uniao,RO,0,0,0,0,277
2004,1101450,parecis,RO,0,0,0,0,130
2004,1101468,pimenteiras do oeste,RO,0,0,0,0,60
2004,1101476,primavera de rondonia,RO,0,0,0,0,164
2004,1101484,sao felipe d oeste,RO,0,0,0,0,217
