ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
1998,1100015,alta floresta d'oeste,RO,112,61,44,23
1998,1100023,ariquemes,RO,356,225,113,90
1998,1100031,cabixi,RO,39,25,24,10
1998,1100049,cacoal,RO,229,113,140,104
1998,1100056,cerejeiras,RO,119,91,53,14
1998,1100064,colorado do oeste,RO,177,122,97,55
1998,1100072,corumbiara,RO,87,27,20,6
1998,1100080,costa marques,RO,69,41,20,26
1998,1100098,espigao d'oeste,RO,134,95,81,50
1998,1100106,guajara-mirim,RO,214,147,93,80
1998,1100114,jaru,RO,359,222,124,85
1998,1100122,ji-parana,RO,499,384,283,203
1998,1100130,machadinho d'oeste,RO,113,49,46,25
1998,1100148,nova brasilandia d'oeste,RO,152,33,32,91
1998,1100155,ouro preto do oeste,RO,209,127,96,58
1998,1100189,pimenta bueno,RO,126,94,62,56
1998,1100205,porto velho,RO,1262,654,447,260
1998,1100254,presidente medici,RO,215,139,90,28
1998,1100262,rio crespo,RO,28,15,6,1
1998,1100288,rolim de moura,RO,295,191,151,91
1998,1100296,santa luzia d'oeste,RO,29,20,13,44
1998,1100304,vilhena,RO,256,237,159,104
1998,1100320,sao miguel do guapore,RO,83,45,9,16
1998,1100338,nova mamore,RO,98,64,37,11
1998,1100346,alvorada d'oeste,RO,69,53,32,31
1998,1100379,alto alegre dos parecis,RO,164,16,10,5
1998,1100403,alto paraiso,RO,69,12,8,6
1998,1100452,buritis,RO,40,29,0,0
1998,1100502,novo horizonte do oeste,RO,36,23,64,2
1998,1100601,cacaulandia,RO,44,14,10,10
1998,1100700,campo novo de rondonia,RO,42,25,20,9
1998,1100809,candeias do jamari,RO,72,31,12,13
1998,1100908,castanheiras,RO,17,10,4,21
1998,1100924,chupinguaia,RO,20,14,13,6
1998,1100940,cujubim,RO,39,16,9,1
1998,1101005,governador jorge teixeira,RO,53,29,10,7
1998,1101104,itapua do oeste,RO,36,23,11,11
1998,1101203,ministro andreazza,RO,35,38,4,7
1998,1101302,mirante da serra,RO,99,49,33,23
1998,1101401,monte negro,RO,44,28,29,12
1998,1101435,nova uniao,RO,28,21,7,5
1998,1101450,parecis,RO,19,8,3,1
1998,1101468,pimenteiras do oeste,RO,24,12,5,2
1998,1101476,primavera de rondonia,RO,60,30,7,7
1998,1101484,sao felipe d oeste,RO,39,22,6,8
1998,1101492,sao francisco do guapore,RO,7,2,5,5
1998,1101500,seringueiras,RO,15,8,10,0
1998,1101559,teixeiropolis,RO,24,1,8,4
1998,1101609,theobroma,RO,67,29,21,7
1998,1101708,urupa,RO,48,51,26,17
1998,1101757,vale do anari,RO,16,11,13,3
1998,1101807,vale do paraiso,RO,29,17,5,2
1998,1200013,acrelandia,AC,66,34,16,4
1998,1200054,assis brasil,AC,10,2,0,2
1998,1200104,brasileia,AC,76,45,33,31
1998,1200138,bujari,AC,42,16,7,4
1998,1200179,capixaba,AC,3,3,2,4
1998,1200203,cruzeiro do sul,AC,393,277,195,115
1998,1200252,epitaciolandia,AC,85,26,31,23
1998,1200302,feijo,AC,58,25,13,15
1998,1200328,jordao,AC,17,6,2,0
1998,1200336,mancio lima,AC,44,25,16,12
1998,1200344,manoel urbano,AC,26,12,4,3
1998,1200351,marechal thaumaturgo,AC,45,18,10,2
1998,1200385,placido de castro,AC,112,49,29,3
1998,1200393,porto walter,AC,8,3,4,0
1998,1200401,rio branco,AC,1585,1151,872,671
1998,1200427,rodrigues alves,AC,24,9,4,4
1998,1200435,santa rosa do purus,AC,2,5,0,0
1998,1200450,senador guiomard,AC,145,107,57,35
1998,1200500,sena madureira,AC,181,103,75,48
1998,1200609,tarauaca,AC,86,34,27,24
1998,1200708,xapuri,AC,43,27,19,13
1998,1200807,porto acre,AC,33,33,14,10
1998,1300029,alvaraes,AM,51,15,10,2
1998,1300060,amatura,AM,28,16,5,4
1998,1300086,anama,AM,25,12,11,7
1998,1300102,anori,AM,109,89,50,35
1998,1300144,apui,AM,35,18,20,12
1998,1300201,atalaia do norte,AM,53,14,16,8
1998,1300300,autazes,AM,43,17,26,20
1998,1300409,barcelos,AM,91,36,26,12
1998,1300508,barreirinha,AM,65,62,39,27
1998,1300607,benjamin constant,AM,82,59,33,14
1998,1300631,beruri,AM,52,34,18,22
1998,1300680,boa vista do ramos,AM,45,20,15,11
1998,1300706,boca do acre,AM,168,83,71,36
1998,1300805,borba,AM,75,54,69,35
1998,1300839,caapiranga,AM,16,5,4,4
1998,1300904,canutama,AM,26,15,15,9
1998,1301001,carauari,AM,175,91,69,39
1998,1301100,careiro,AM,142,55,22,18
1998,1301159,careiro da varzea,AM,66,39,27,12
1998,1301209,coari,AM,285,128,93,57
1998,1301308,codajas,AM,114,80,50,44
1998,1301407,eirunepe,AM,123,81,53,29
1998,1301506,envira,AM,34,12,10,6
1998,1301605,fonte boa,AM,99,70,32,13
1998,1301654,guajara,AM,41,26,17,7
1998,1301704,humaita,AM,188,121,77,60
1998,1301803,ipixuna,AM,52,28,9,2
1998,1301852,iranduba,AM,96,104,65,21
1998,1301902,itacoatiara,AM,361,209,152,126
1998,1301951,itamarati,AM,30,15,16,4
1998,1302009,itapiranga,AM,53,50,39,8
1998,1302108,japura,AM,24,10,8,3
1998,1302207,jurua,AM,34,50,12,6
1998,1302306,jutai,AM,55,18,20,6
1998,1302405,labrea,AM,121,100,92,53
1998,1302504,manacapuru,AM,300,187,183,96
1998,1302553,manaquiri,AM,108,69,40,14
1998,1302603,manaus,AM,12281,8154,6496,5367
1998,1302702,manicore,AM,184,84,66,25
1998,1302801,maraa,AM,6,6,14,7
1998,1302900,maues,AM,246,177,107,81
1998,1303007,nhamunda,AM,46,44,35,19
1998,1303106,nova olinda do norte,AM,91,58,52,31
1998,1303205,novo airao,AM,104,33,30,13
1998,1303304,novo aripuana,AM,86,42,34,18
1998,1303403,parintins,AM,400,358,286,233
1998,1303502,pauini,AM,56,29,23,6
1998,1303536,presidente figueiredo,AM,49,37,33,23
1998,1303569,rio preto da eva,AM,68,25,20,10
1998,1303601,santa isabel do rio negro,AM,32,33,22,10
1998,1303700,santo antonio do ica,AM,109,56,48,22
1998,1303809,sao gabriel da cachoeira,AM,71,58,45,32
1998,1303908,sao paulo de olivenca,AM,109,69,69,43
1998,1303957,sao sebastiao do uatuma,AM,43,34,24,12
1998,1304005,silves,AM,27,18,26,13
1998,1304062,tabatinga,AM,272,228,113,64
1998,1304104,tapaua,AM,58,28,9,8
1998,1304203,tefe,AM,248,183,157,101
1998,1304237,tonantins,AM,39,20,14,8
1998,1304260,uarini,AM,47,11,11,5
1998,1304302,urucara,AM,87,79,81,44
1998,1304401,urucurituba,AM,98,32,33,26
1998,1400027,amajari,RR,3,4,1,0
1998,1400050,alto alegre,RR,58,32,16,19
1998,1400100,boa vista,RR,447,315,131,121
1998,1400159,bonfim,RR,19,5,3,2
1998,1400175,canta,RR,15,2,2,0
1998,1400209,caracarai,RR,71,69,22,26
1998,1400233,caroebe,RR,23,7,10,1
1998,1400282,iracema,RR,10,6,0,0
1998,1400308,mucajai,RR,54,19,18,21
1998,1400407,normandia,RR,17,12,2,3
1998,1400456,pacaraima,RR,15,2,3,1
1998,1400472,rorainopolis,RR,89,43,28,12
1998,1400506,sao joao da baliza,RR,43,11,14,6
1998,1400605,sao luiz,RR,18,5,5,3
1998,1400704,uiramuta,RR,26,10,7,9
1998,1500107,abaetetuba,PA,372,242,208,132
1998,1500131,abel figueiredo,PA,27,21,6,2
1998,1500206,acara,PA,75,28,15,10
1998,1500305,afua,PA,12,19,10,8
1998,1500347,agua azul do norte,PA,125,86,25,11
1998,1500404,alenquer,PA,32,20,4,2
1998,1500503,almeirim,PA,92,32,18,5
1998,1500602,altamira,PA,188,73,71,50
1998,1500701,anajas,PA,28,4,5,1
1998,1500800,ananindeua,PA,1096,580,373,248
1998,1500859,anapu,PA,29,16,5,5
1998,1500909,augusto correa,PA,194,85,27,20
1998,1500958,aurora do para,PA,19,27,5,9
1998,1501006,aveiro,PA,66,37,36,11
1998,1501105,bagre,PA,22,30,7,7
1998,1501204,baiao,PA,32,18,13,6
1998,1501253,bannach,PA,7,9,2,0
1998,1501303,barcarena,PA,220,137,69,47
1998,1501402,belem,PA,3999,2072,1412,962
1998,1501451,belterra,PA,35,21,22,2
1998,1501501,benevides,PA,132,45,21,7
1998,1501576,bom jesus do tocantins,PA,50,26,26,13
1998,1501600,bonito,PA,22,18,10,12
1998,1501709,braganca,PA,276,143,74,93
1998,1501725,brasil novo,PA,30,12,11,1
1998,1501758,brejo grande do araguaia,PA,8,6,3,6
1998,1501782,breu branco,PA,134,45,26,10
1998,1501808,breves,PA,96,87,97,73
1998,1501907,bujaru,PA,68,22,8,5
1998,1501956,cachoeira do piria,PA,4,7,11,11
1998,1502004,cachoeira do arari,PA,34,18,7,4
1998,1502103,cameta,PA,366,216,118,47
1998,1502152,canaa dos carajas,PA,116,42,31,21
1998,1502202,capanema,PA,220,116,62,42
1998,1502301,capitao poco,PA,73,36,13,15
1998,1502400,castanhal,PA,499,260,140,99
1998,1502509,chaves,PA,13,6,0,0
1998,1502608,colares,PA,37,13,29,16
1998,1502707,conceicao do araguaia,PA,294,170,104,60
1998,1502756,concordia do para,PA,92,63,29,12
1998,1502764,cumaru do norte,PA,4,2,4,2
1998,1502772,curionopolis,PA,226,115,62,37
1998,1502806,curralinho,PA,75,27,12,7
1998,1502855,curua,PA,46,6,4,1
1998,1502905,curuca,PA,121,57,48,15
1998,1502939,dom eliseu,PA,171,75,78,21
1998,1502954,eldorado dos carajas,PA,97,37,31,14
1998,1503002,faro,PA,27,26,14,5
1998,1503044,floresta do araguaia,PA,100,38,14,12
1998,1503077,garrafao do norte,PA,88,28,36,11
1998,1503093,goianesia do para,PA,86,41,15,18
1998,1503101,gurupa,PA,56,30,30,7
1998,1503200,igarape-acu,PA,171,104,113,18
1998,1503309,igarape-miri,PA,111,68,47,23
1998,1503408,inhangapi,PA,21,4,5,3
1998,1503457,ipixuna do para,PA,71,37,17,18
1998,1503507,irituia,PA,127,103,4,4
1998,1503606,itaituba,PA,499,310,141,65
1998,1503705,itupiranga,PA,181,100,25,12
1998,1503754,jacareacanga,PA,9,2,0,10
1998,1503804,jacunda,PA,101,48,30,8
1998,1503903,juruti,PA,37,20,13,9
1998,1504000,limoeiro do ajuru,PA,64,33,20,7
1998,1504059,mae do rio,PA,85,15,12,1
1998,1504109,magalhaes barata,PA,43,28,9,7
1998,1504208,maraba,PA,930,479,335,207
1998,1504307,maracana,PA,129,57,56,30
1998,1504406,marapanim,PA,106,55,35,25
1998,1504422,marituba,PA,269,159,100,68
1998,1504455,medicilandia,PA,181,62,38,16
1998,1504505,melgaco,PA,2,6,5,3
1998,1504604,mocajuba,PA,120,59,13,10
1998,1504703,moju,PA,55,30,16,20
1998,1504802,monte alegre,PA,149,105,68,31
1998,1504901,muana,PA,68,27,25,9
