ano,codmun,mun,uf,matriculas_EF_6ano,matriculas_EF_7ano,matriculas_EF_8ano,matriculas_EF_9ano
2000,1100015,alta floresta d'oeste,RO,714,670,438,384
2000,1100023,ariquemes,RO,2250,1963,1617,1188
2000,1100031,cabixi,RO,276,239,187,166
2000,1100049,cacoal,RO,2821,1681,2178,1032
2000,1100056,cerejeiras,RO,748,642,572,436
2000,1100064,colorado do oeste,RO,842,637,565,486
2000,1100072,corumbiara,RO,294,201,192,84
2000,1100080,costa marques,RO,289,239,164,135
2000,1100098,espigao d'oeste,RO,666,612,538,397
2000,1100106,guajara-mirim,RO,1315,1040,749,555
2000,1100114,jaru,RO,2913,1802,1811,917
2000,1100122,ji-parana,RO,3903,3577,3065,2668
2000,1100130,machadinho d'oeste,RO,767,455,367,216
2000,1100148,nova brasilandia d'oeste,RO,1174,267,235,198
2000,1100155,ouro preto do oeste,RO,1769,1245,996,839
2000,1100189,pimenta bueno,RO,1271,971,845,675
2000,1100205,porto velho,RO,11548,8090,6344,4932
2000,1100254,presidente medici,RO,921,775,580,403
2000,1100262,rio crespo,RO,126,126,81,87
2000,1100288,rolim de moura,RO,2039,1471,1209,1064
2000,1100296,santa luzia d'oeste,RO,349,449,271,222
2000,1100304,vilhena,RO,1869,1749,1456,1134
2000,1100320,sao miguel do guapore,RO,464,301,235,195
2000,1100338,nova mamore,RO,426,306,256,163
2000,1100346,alvorada d'oeste,RO,488,349,281,200
2000,1100379,alto alegre dos parecis,RO,291,250,181,179
2000,1100403,alto paraiso,RO,378,357,300,229
2000,1100452,buritis,RO,500,397,349,276
2000,1100502,novo horizonte do oeste,RO,380,279,158,115
2000,1100601,cacaulandia,RO,179,151,149,79
2000,1100700,campo novo de rondonia,RO,390,173,114,82
2000,1100809,candeias do jamari,RO,434,254,191,143
2000,1100908,castanheiras,RO,201,30,123,102
2000,1100924,chupinguaia,RO,167,195,179,161
2000,1100940,cujubim,RO,206,139,147,75
2000,1101005,governador jorge teixeira,RO,689,451,317,90
2000,1101104,itapua do oeste,RO,309,267,149,88
2000,1101203,ministro andreazza,RO,310,326,87,62
2000,1101302,mirante da serra,RO,481,593,279,225
2000,1101401,monte negro,RO,485,377,272,150
2000,1101435,nova uniao,RO,322,512,204,56
2000,1101450,parecis,RO,173,88,47,50
2000,1101468,pimenteiras do oeste,RO,99,81,56,43
2000,1101476,primavera de rondonia,RO,151,111,103,107
2000,1101484,sao felipe d oeste,RO,248,189,244,86
2000,1101492,sao francisco do guapore,RO,176,147,108,117
2000,1101500,seringueiras,RO,290,356,197,114
2000,1101559,teixeiropolis,RO,175,125,116,63
2000,1101609,theobroma,RO,396,313,223,128
2000,1101708,urupa,RO,460,389,318,209
2000,1101757,vale do anari,RO,211,137,97,60
2000,1101807,vale do paraiso,RO,337,483,238,216
2000,1200013,acrelandia,AC,326,242,145,111
2000,1200054,assis brasil,AC,151,52,34,28
2000,1200104,brasileia,AC,386,247,206,178
2000,1200138,bujari,AC,159,119,70,65
2000,1200179,capixaba,AC,61,59,37,30
2000,1200203,cruzeiro do sul,AC,1954,1541,1318,1304
2000,1200252,epitaciolandia,AC,291,196,135,126
2000,1200302,feijo,AC,399,283,215,194
2000,1200328,jordao,AC,55,39,16,34
2000,1200336,mancio lima,AC,345,216,207,159
2000,1200344,manoel urbano,AC,110,81,72,44
2000,1200351,marechal thaumaturgo,AC,136,93,53,34
2000,1200385,placido de castro,AC,430,315,281,242
2000,1200393,porto walter,AC,108,71,45,43
2000,1200401,rio branco,AC,8813,6667,5657,4732
2000,1200427,rodrigues alves,AC,102,86,65,44
2000,1200435,santa rosa do purus,AC,15,12,9,15
2000,1200450,senador guiomard,AC,526,392,287,302
2000,1200500,sena madureira,AC,604,546,355,319
2000,1200609,tarauaca,AC,544,366,337,270
2000,1200708,xapuri,AC,296,211,170,135
2000,1200807,porto acre,AC,296,199,153,102
2000,1300029,alvaraes,AM,224,211,162,117
2000,1300060,amatura,AM,133,106,81,80
2000,1300086,anama,AM,161,131,103,72
2000,1300102,anori,AM,320,241,217,179
2000,1300144,apui,AM,288,198,136,130
2000,1300201,atalaia do norte,AM,161,132,120,71
2000,1300300,autazes,AM,760,564,363,242
2000,1300409,barcelos,AM,333,290,197,151
2000,1300508,barreirinha,AM,525,431,348,314
2000,1300607,benjamin constant,AM,668,605,475,371
2000,1300631,beruri,AM,209,122,126,104
2000,1300680,boa vista do ramos,AM,201,179,127,122
2000,1300706,boca do acre,AM,602,444,408,313
2000,1300805,borba,AM,496,394,274,245
2000,1300839,caapiranga,AM,198,95,74,69
2000,1300904,canutama,AM,171,117,125,79
2000,1301001,carauari,AM,708,490,367,218
2000,1301100,careiro,AM,607,440,386,287
2000,1301159,careiro da varzea,AM,471,390,265,191
2000,1301209,coari,AM,1401,968,750,612
2000,1301308,codajas,AM,417,412,250,293
2000,1301407,eirunepe,AM,707,552,438,344
2000,1301506,envira,AM,166,111,109,90
2000,1301605,fonte boa,AM,414,281,230,196
2000,1301654,guajara,AM,226,169,138,106
2000,1301704,humaita,AM,1135,967,864,776
2000,1301803,ipixuna,AM,226,220,147,120
2000,1301852,iranduba,AM,806,613,414,319
2000,1301902,itacoatiara,AM,1709,1454,1238,1137
2000,1301951,itamarati,AM,165,104,63,52
2000,1302009,itapiranga,AM,240,220,153,136
2000,1302108,japura,AM,112,62,73,20
2000,1302207,jurua,AM,101,86,47,41
2000,1302306,jutai,AM,201,144,120,104
2000,1302405,labrea,AM,648,597,501,351
2000,1302504,manacapuru,AM,2214,1664,1415,1204
2000,1302553,manaquiri,AM,411,309,256,154
2000,1302603,manaus,AM,46716,41061,36997,32060
2000,1302702,manicore,AM,755,554,392,340
2000,1302801,maraa,AM,161,121,82,62
2000,1302900,maues,AM,1237,1002,733,553
2000,1303007,nhamunda,AM,460,412,275,245
2000,1303106,nova olinda do norte,AM,491,333,270,266
2000,1303205,novo airao,AM,450,308,135,122
2000,1303304,novo aripuana,AM,409,316,272,183
2000,1303403,parintins,AM,2577,2135,1842,1664
2000,1303502,pauini,AM,280,162,116,124
2000,1303536,presidente figueiredo,AM,447,387,315,251
2000,1303569,rio preto da eva,AM,229,222,160,120
2000,1303601,santa isabel do rio negro,AM,245,157,165,106
2000,1303700,santo antonio do ica,AM,560,341,241,226
2000,1303809,sao gabriel da cachoeira,AM,926,695,543,484
2000,1303908,sao paulo de olivenca,AM,399,249,218,165
2000,1303957,sao sebastiao do uatuma,AM,227,175,132,119
2000,1304005,silves,AM,313,149,125,80
2000,1304062,tabatinga,AM,1080,850,614,521
2000,1304104,tapaua,AM,303,168,139,130
2000,1304203,tefe,AM,1709,1264,1078,911
2000,1304237,tonantins,AM,219,179,130,133
2000,1304260,uarini,AM,152,100,101,66
2000,1304302,urucara,AM,484,432,412,280
2000,1304401,urucurituba,AM,405,330,245,208
2000,1400027,amajari,RR,123,94,86,38
2000,1400050,alto alegre,RR,488,296,387,176
2000,1400100,boa vista,RR,7247,5136,6408,3982
2000,1400159,bonfim,RR,201,169,117,86
2000,1400175,canta,RR,373,206,231,110
2000,1400209,caracarai,RR,592,395,480,187
2000,1400233,caroebe,RR,228,213,112,64
2000,1400282,iracema,RR,218,99,158,65
2000,1400308,mucajai,RR,438,303,326,205
2000,1400407,normandia,RR,205,115,157,74
2000,1400456,pacaraima,RR,354,175,229,78
2000,1400472,rorainopolis,RR,599,381,463,169
2000,1400506,sao joao da baliza,RR,229,166,219,101
2000,1400605,sao luiz,RR,273,179,210,126
2000,1400704,uiramuta,RR,231,96,125,36
2000,1500107,abaetetuba,PA,3009,2671,2057,1722
2000,1500131,abel figueiredo,PA,234,113,59,35
2000,1500206,acara,PA,473,357,251,173
2000,1500305,afua,PA,686,355,191,161
2000,1500347,agua azul do norte,PA,364,249,177,105
2000,1500404,alenquer,PA,728,575,287,272
2000,1500503,almeirim,PA,689,577,402,341
2000,1500602,altamira,PA,2103,1480,983,772
2000,1500701,anajas,PA,158,70,33,41
2000,1500800,ananindeua,PA,8931,7304,5612,4509
2000,1500859,anapu,PA,244,179,104,62
2000,1500909,augusto correa,PA,733,489,271,186
2000,1500958,aurora do para,PA,246,112,53,47
2000,1501006,aveiro,PA,144,130,91,66
2000,1501105,bagre,PA,160,106,78,56
2000,1501204,baiao,PA,522,454,233,194
2000,1501253,bannach,PA,117,79,42,30
2000,1501303,barcarena,PA,1818,1356,890,771
2000,1501402,belem,PA,31347,27379,21507,19958
2000,1501451,belterra,PA,404,284,213,123
2000,1501501,benevides,PA,861,634,426,301
2000,1501576,bom jesus do tocantins,PA,222,276,196,138
2000,1501600,bonito,PA,198,143,97,53
2000,1501709,braganca,PA,2303,1530,978,811
2000,1501725,brasil novo,PA,359,343,239,191
2000,1501758,brejo grande do araguaia,PA,464,393,232,126
2000,1501782,breu branco,PA,1066,649,517,238
2000,1501808,breves,PA,1465,841,610,503
2000,1501907,bujaru,PA,715,222,223,95
2000,1501956,cachoeira do piria,PA,257,125,98,65
2000,1502004,cachoeira do arari,PA,278,202,121,89
2000,1502103,cameta,PA,2669,2000,1300,1069
2000,1502152,canaa dos carajas,PA,419,321,294,183
2000,1502202,capanema,PA,1632,1232,892,667
2000,1502301,capitao poco,PA,788,523,306,201
2000,1502400,castanhal,PA,3316,2736,1850,1597
2000,1502509,chaves,PA,43,31,32,13
2000,1502608,colares,PA,297,252,172,166
2000,1502707,conceicao do araguaia,PA,1527,1318,758,650
2000,1502756,concordia do para,PA,518,364,175,149
2000,1502764,cumaru do norte,PA,40,32,30,18
2000,1502772,curionopolis,PA,737,516,352,274
2000,1502806,curralinho,PA,217,135,81,51
2000,1502855,curua,PA,262,169,95,63
2000,1502905,curuca,PA,639,592,403,287
2000,1502939,dom eliseu,PA,1037,900,428,458
2000,1502954,eldorado dos carajas,PA,803,510,337,251
2000,1503002,faro,PA,228,155,90,90
2000,1503044,floresta do araguaia,PA,567,402,224,186
