ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,abadia de goiás,GO,5200050,680,372
2007,abadia dos dourados,MG,3100104,467,206
2007,abadiânia,GO,5200100,933,655
2007,abaeté,MG,3100203,1844,842
2007,abaetetuba,PA,1500107,13888,6934
2007,abaiara,CE,2300101,808,339
2007,abaíra,BA,2900108,719,471
2007,abaré,BA,2900207,1482,925
2007,abatiá,PR,4100103,716,427
2007,abdon batista,SC,4200051,220,130
2007,abel figueiredo,PA,1500131,470,302
2007,abelardo luz,SC,4200101,1449,602
2007,abre campo,MG,3100302,982,518
2007,abreu e lima,PE,2600054,7731,5375
2007,abreulândia,TO,1700251,221,125
2007,acaiaca,MG,3100401,430,304
2007,açailândia,MA,2100055,8588,5946
2007,acajutiba,BA,2900306,1228,469
2007,acará,PA,1500206,3390,1385
2007,acarape,CE,2300150,983,374
2007,acaraú,CE,2300200,5262,2255
2007,acari,RN,2400109,808,561
2007,acauã,PI,2200053,432,273
2007,aceguá,RS,4300034,382,120
2007,acopiara,CE,2300309,4009,1768
2007,acorizal,MT,5100102,550,361
2007,acrelândia,AC,1200013,1165,506
2007,acreúna,GO,5200134,1621,671
2007,açu,RN,2400208,4718,2888
2007,açucena,MG,3100500,1004,421
2007,adamantina,SP,3500105,2022,1696
2007,adelândia,GO,5200159,224,177
2007,adolfo,SP,3500204,231,174
2007,adrianópolis,PR,4100202,660,384
2007,adustina,BA,2900355,1292,659
2007,afogados da ingazeira,PE,2600104,3163,2160
2007,afonso bezerra,RN,2400307,828,471
2007,afonso cláudio,ES,3200102,2081,1016
2007,afonso cunha,MA,2100105,713,163
2007,afrânio,PE,2600203,1822,872
2007,afuá,PA,1500305,4025,1124
2007,agrestina,PE,2600302,2161,740
2007,agricolândia,PI,2200103,474,571
2007,agrolândia,SC,4200200,611,316
2007,agronômica,SC,4200309,353,183
2007,água azul do norte,PA,1500347,1020,311
2007,água boa,MG,3100609,1569,469
2007,água boa,MT,5100201,1725,975
2007,água branca,AL,2700102,2025,939
2007,água branca,PB,2500106,1149,403
2007,água branca,PI,2200202,1190,728
2007,água clara,MS,5000203,1392,383
2007,água comprida,MG,3100708,159,0
2007,água doce,SC,4200408,453,218
2007,água doce do maranhão,MA,2100154,786,487
2007,água doce do norte,ES,3200169,1175,511
2007,água fria,BA,2900405,1455,857
2007,água fria de goiás,GO,5200175,488,247
2007,água limpa,GO,5200209,174,121
2007,água nova,RN,2400406,350,140
2007,água preta,PE,2600401,2555,1180
2007,água santa,RS,4300059,240,167
2007,aguaí,SP,3500303,2021,1033
2007,aguanil,MG,3100807,409,104
2007,águas belas,PE,2600500,2535,1523
2007,águas da prata,SP,3500402,448,291
2007,águas de chapecó,SC,4200507,450,208
2007,águas de lindóia,SP,3500501,1072,506
2007,águas de santa bárbara,SP,3500550,414,254
2007,águas de são pedro,SP,3500600,395,168
2007,águas formosas,MG,3100906,1828,800
2007,águas frias,SC,4200556,197,133
2007,águas lindas de goiás,GO,5200258,11553,5362
2007,águas mornas,SC,4200606,473,245
2007,águas vermelhas,MG,3101003,1195,442
2007,agudo,RS,4300109,1209,509
2007,agudos,SP,3500709,2494,1529
2007,agudos do sul,PR,4100301,719,328
2007,águia branca,ES,3200136,803,350
2007,aguiar,PB,2500205,423,235
2007,aguiarnópolis,TO,1700301,368,230
2007,aimorés,MG,3101102,1958,878
2007,aiquara,BA,2900603,638,219
2007,aiuaba,CE,2300408,1133,607
2007,aiuruoca,MG,3101201,407,185
2007,ajuricaba,RS,4300208,485,293
2007,alagoa,MG,3101300,219,113
2007,alagoa grande,PB,2500304,2155,966
2007,alagoa nova,PB,2500403,1673,720
2007,alagoinha,PB,2500502,1233,453
2007,alagoinha,PE,2600609,1121,547
2007,alagoinha do piauí,PI,2200251,426,324
2007,alagoinhas,BA,2900702,10836,6052
2007,alambari,SP,3500758,352,221
2007,albertina,MG,3101409,261,85
2007,alcântara,MA,2100204,1908,607
2007,alcântaras,CE,2300507,940,406
2007,alcantil,PB,2500536,452,161
2007,alcinópolis,MS,5000252,329,178
2007,alcobaça,BA,2900801,2176,906
2007,aldeias altas,MA,2100303,1831,528
2007,alecrim,RS,4300307,587,318
2007,alegre,ES,3200201,1988,1524
2007,alegrete,RS,4300406,6045,3640
2007,alegrete do piauí,PI,2200277,368,172
2007,alegria,RS,4300455,370,244
2007,além paraíba,MG,3101508,2617,1470
2007,alenquer,PA,1500404,4476,2430
2007,alexandria,RN,2400505,964,644
2007,alexânia,GO,5200308,2061,1003
2007,alfenas,MG,3101607,5322,3515
2007,alfredo chaves,ES,3200300,916,373
2007,alfredo marcondes,SP,3500808,246,184
2007,alfredo vasconcelos,MG,3101631,502,151
2007,alfredo wagner,SC,4200705,835,277
2007,algodão de jandaíra,PB,2500577,202,0
2007,alhandra,PB,2500601,1546,977
2007,aliança,PE,2600708,3404,1427
2007,aliança do tocantins,TO,1700350,546,298
2007,almadina,BA,2900900,491,184
2007,almas,TO,1700400,803,307
2007,almeirim,PA,1500503,2779,2242
2007,almenara,MG,3101706,3226,1774
2007,almino afonso,RN,2400604,402,240
2007,almirante tamandaré,PR,4100400,8044,3484
2007,almirante tamandaré do sul,RS,4300471,158,67
2007,aloândia,GO,5200506,148,78
2007,alpercata,MG,3101805,545,191
2007,alpestre,RS,4300505,743,421
2007,alpinópolis,MG,3101904,1394,762
2007,alta floresta,MT,5100250,4215,2698
2007,alta floresta d'oeste,RO,1100015,2520,1161
2007,altair,SP,3500907,257,157
2007,altamira,PA,1500602,7866,5742
2007,altamira do maranhão,MA,2100402,632,609
2007,altamira do paraná,PR,4100459,416,269
2007,altaneira,CE,2300606,578,259
2007,alterosa,MG,3102001,903,435
2007,altinho,PE,2600807,1723,862
2007,altinópolis,SP,3501004,1139,662
2007,alto alegre,RR,1400050,916,509
2007,alto alegre,RS,4300554,116,78
2007,alto alegre,SP,3501103,274,181
2007,alto alegre do maranhão,MA,2100436,1742,813
2007,alto alegre do pindaré,MA,2100477,3251,1634
2007,alto alegre dos parecis,RO,1100379,1247,427
2007,alto araguaia,MT,5100300,1024,529
2007,alto bela vista,SC,4200754,155,80
2007,alto boa vista,MT,5100359,419,205
2007,alto caparaó,MG,3102050,296,147
2007,alto do rodrigues,RN,2400703,1100,767
2007,alto feliz,RS,4300570,171,89
2007,alto garças,MT,5100409,764,270
2007,alto horizonte,GO,5200555,319,152
2007,alto jequitibá,MG,3153509,629,312
2007,alto longá,PI,2200301,892,601
2007,alto paraguai,MT,5100508,619,386
2007,alto paraíso,PR,4128625,244,151
2007,alto paraíso,RO,1100403,1552,779
2007,alto paraíso de goiás,GO,5200605,592,264
2007,alto paraná,PR,4100608,956,516
2007,alto parnaíba,MA,2100501,999,355
2007,alto piquiri,PR,4100707,751,382
2007,alto rio doce,MG,3102100,1063,563
2007,alto rio novo,ES,3200359,576,295
2007,alto santo,CE,2300705,1061,487
2007,alto taquari,MT,5100607,547,190
2007,altônia,PR,4100509,1297,863
2007,altos,PI,2200400,3162,2477
2007,alumínio,SP,3501152,1447,858
2007,alvarães,AM,1300029,866,619
2007,alvarenga,MG,3102209,380,189
2007,álvares florence,SP,3501202,223,138
2007,álvares machado,SP,3501301,1755,1114
2007,álvaro de carvalho,SP,3501400,272,154
2007,alvinlândia,SP,3501509,256,105
2007,alvinópolis,MG,3102308,1229,824
2007,alvorada,RS,4300604,15582,7465
2007,alvorada,TO,1700707,682,399
2007,alvorada d'oeste,RO,1100346,1872,769
2007,alvorada de minas,MG,3102407,357,203
2007,alvorada do gurguéia,PI,2200459,478,492
2007,alvorada do norte,GO,5200803,888,412
2007,alvorada do sul,PR,4100806,702,442
2007,amajari,RR,1400027,522,202
2007,amambai,MS,5000609,2659,1080
2007,amapá,AP,1600105,820,378
2007,amapá do maranhão,MA,2100550,653,361
2007,amaporã,PR,4100905,466,283
2007,amaraji,PE,2600906,1779,519
2007,amaral ferrador,RS,4300638,512,235
2007,amaralina,GO,5200829,369,147
2007,amarante,PI,2200509,1272,860
2007,amarante do maranhão,MA,2100600,4002,1162
2007,amargosa,BA,2901007,2749,866
