"","uf_name","year","child_work_rate","uf"
"1","Rondônia","1995",14.11,11
"2","Rondônia","1996",9.15,11
"3","Rondônia","1997",12.87,11
"4","Rondônia","1998",7.55,11
"5","Rondônia","1999",8.33,11
"6","Rondônia","2001",7.2,11
"7","Rondônia","2002",12.82,11
"8","Rondônia","2003",10.2,11
"9","Rondônia","2004",20.85,11
"10","Rondônia","2005",19.91,11
"11","Rondônia","2006",15.7,11
"12","Acre","1995",17.5,12
"13","Acre","1996",9.16,12
"14","Acre","1997",11.96,12
"15","Acre","1998",13.01,12
"16","Acre","1999",10.74,12
"17","Acre","2001",9.42,12
"18","Acre","2002",14.24,12
"19","Acre","2003",9.92,12
"20","Acre","2004",19.24,12
"21","Acre","2005",19.29,12
"22","Acre","2006",17.87,12
"23","Amazonas","1995",14.71,13
"24","Amazonas","1996",6.26,13
"25","Amazonas","1997",8.31,13
"26","Amazonas","1998",5.39,13
"27","Amazonas","1999",8.52,13
"28","Amazonas","2001",6.11,13
"29","Amazonas","2002",6.8,13
"30","Amazonas","2003",5.93,13
"31","Amazonas","2004",10.85,13
"32","Amazonas","2005",9.56,13
"33","Amazonas","2006",11.34,13
"34","Roraima","1995",5.77,14
"35","Roraima","1996",12.34,14
"36","Roraima","1997",7.45,14
"37","Roraima","1998",1.15,14
"38","Roraima","1999",8.64,14
"39","Roraima","2001",5.53,14
"40","Roraima","2002",1.57,14
"41","Roraima","2003",10.36,14
"42","Roraima","2004",10.3,14
"43","Roraima","2005",9.52,14
"44","Roraima","2006",17.17,14
"45","Pará","1995",18.47,15
"46","Pará","1996",14.9,15
"47","Pará","1997",17.16,15
"48","Pará","1998",21.03,15
"49","Pará","1999",18.22,15
"50","Pará","2001",12.35,15
"51","Pará","2002",11.93,15
"52","Pará","2003",12.44,15
"53","Pará","2004",19.09,15
"54","Pará","2005",17.81,15
"55","Pará","2006",15.8,15
"56","Amapá","1995",8,16
"57","Amapá","1996",10,16
"58","Amapá","1997",14.01,16
"59","Amapá","1998",8.84,16
"60","Amapá","1999",10.86,16
"61","Amapá","2001",5.42,16
"62","Amapá","2002",3.56,16
"63","Amapá","2003",4.28,16
"64","Amapá","2004",4.14,16
"65","Amapá","2005",6.8,16
"66","Amapá","2006",4.32,16
"67","Tocantins","1995",28.75,17
"68","Tocantins","1996",26.32,17
"69","Tocantins","1997",24.28,17
"70","Tocantins","1998",29.35,17
"71","Tocantins","1999",35.3,17
"72","Tocantins","2001",21.46,17
"73","Tocantins","2002",20.46,17
"74","Tocantins","2003",18.05,17
"75","Tocantins","2004",16.47,17
"76","Tocantins","2005",17.8,17
"77","Tocantins","2006",17.91,17
"78","Maranhão","1995",39.35,21
"79","Maranhão","1996",32.6,21
"80","Maranhão","1997",39.4,21
"81","Maranhão","1998",43.52,21
"82","Maranhão","1999",36.97,21
"83","Maranhão","2001",28.9,21
"84","Maranhão","2002",21.96,21
"85","Maranhão","2003",19.94,21
"86","Maranhão","2004",20.52,21
"87","Maranhão","2005",26.37,21
"88","Maranhão","2006",19.89,21
"89","Piauí","1995",34.65,22
"90","Piauí","1996",26.55,22
"91","Piauí","1997",25,22
"92","Piauí","1998",26.77,22
"93","Piauí","1999",31.57,22
"94","Piauí","2001",22.19,22
"95","Piauí","2002",22.4,22
"96","Piauí","2003",22.01,22
"97","Piauí","2004",25.67,22
"98","Piauí","2005",26.23,22
"99","Piauí","2006",19.68,22
"100","Ceará","1995",30.28,23
"101","Ceará","1996",25.59,23
"102","Ceará","1997",23.63,23
"103","Ceará","1998",23.67,23
"104","Ceará","1999",25.76,23
"105","Ceará","2001",20.22,23
"106","Ceará","2002",20.55,23
"107","Ceará","2003",21.7,23
"108","Ceará","2004",17.02,23
"109","Ceará","2005",18.57,23
"110","Ceará","2006",18.09,23
"111","Rio Grande do Norte","1995",23.29,24
"112","Rio Grande do Norte","1996",17.98,24
"113","Rio Grande do Norte","1997",16.81,24
"114","Rio Grande do Norte","1998",12.45,24
"115","Rio Grande do Norte","1999",12.62,24
"116","Rio Grande do Norte","2001",13.06,24
"117","Rio Grande do Norte","2002",12.59,24
"118","Rio Grande do Norte","2003",12.8,24
"119","Rio Grande do Norte","2004",10.43,24
"120","Rio Grande do Norte","2005",13.17,24
"121","Rio Grande do Norte","2006",11.02,24
"122","Paraíba","1995",29.8,25
"123","Paraíba","1996",27.99,25
"124","Paraíba","1997",26.61,25
"125","Paraíba","1998",21.93,25
"126","Paraíba","1999",23.05,25
"127","Paraíba","2001",15.6,25
"128","Paraíba","2002",20,25
"129","Paraíba","2003",18.71,25
