"","uf_name","year","child_work_rate","uf"
"1","Rondônia","1991",16.56,11
"2","Rondônia","2000",17.53,11
"3","Rondônia","2010",14.28,11
"4","Acre","1991",12.98,12
"5","Acre","2000",12.76,12
"6","Acre","2010",11.26,12
"7","Amazonas","1991",10.49,13
"8","Amazonas","2000",11.27,13
"9","Amazonas","2010",11.97,13
"10","Roraima","1991",8.58,14
"11","Roraima","2000",10.83,14
"12","Roraima","2010",11.68,14
"13","Pará","1991",10.52,15
"14","Pará","2000",13.14,15
"15","Pará","2010",11.96,15
"16","Amapá","1991",8.24,16
"17","Amapá","2000",7.32,16
"18","Amapá","2010",8.94,16
"19","Tocantins","1991",12.97,17
"20","Tocantins","2000",18.99,17
"21","Tocantins","2010",10.31,17
"22","Maranhão","1991",13.19,21
"23","Maranhão","2000",14.35,21
"24","Maranhão","2010",10.78,21
"25","Piauí","1991",15.95,22
"26","Piauí","2000",14.91,22
"27","Piauí","2010",10.5,22
"28","Ceará","1991",15.27,23
"29","Ceará","2000",14.18,23
"30","Ceará","2010",9.39,23
"31","Rio Grande do Norte","1991",12.11,24
"32","Rio Grande do Norte","2000",10.35,24
"33","Rio Grande do Norte","2010",7.19,24
"34","Paraíba","1991",16.05,25
"35","Paraíba","2000",14.48,25
"36","Paraíba","2010",10.21,25
"37","Pernambuco","1991",13.68,26
"38","Pernambuco","2000",12.97,26
"39","Pernambuco","2010",9.53,26
"40","Alagoas","1991",15.78,27
"41","Alagoas","2000",14.16,27
"42","Alagoas","2010",10.44,27
"43","Sergipe","1991",12.86,28
"44","Sergipe","2000",11.82,28
"45","Sergipe","2010",9.1,28
"46","Bahia","1991",13.37,29
"47","Bahia","2000",14.77,29
"48","Bahia","2010",11.91,29
"49","Minas Gerais","1991",15.35,31
"50","Minas Gerais","2000",13.68,31
"51","Minas Gerais","2010",9.29,31
"52","Espírito Santo","1991",14.13,32
"53","Espírito Santo","2000",15.19,32
"54","Espírito Santo","2010",10.28,32
"55","Rio de Janeiro","1991",7.79,33
"56","Rio de Janeiro","2000",6.64,33
"57","Rio de Janeiro","2010",5.1,33
"58","São Paulo","1991",13.92,35
"59","São Paulo","2000",10.51,35
"60","São Paulo","2010",6.97,35
"61","Paraná","1991",18.03,41
"62","Paraná","2000",14.47,41
"63","Paraná","2010",11.25,41
"64","Santa Catarina","1991",17.07,42
"65","Santa Catarina","2000",15.28,42
"66","Santa Catarina","2010",11.92,42
"67","Rio Grande do Sul","1991",14.64,43
"68","Rio Grande do Sul","2000",13.48,43
"69","Rio Grande do Sul","2010",10.19,43
"70","Mato Grosso do Sul","1991",16.51,50
"71","Mato Grosso do Sul","2000",14.19,50
"72","Mato Grosso do Sul","2010",9.58,50
"73","Mato Grosso","1991",16.51,51
"74","Mato Grosso","2000",14.82,51
"75","Mato Grosso","2010",11.51,51
"76","Goiás","1991",16.28,52
"77","Goiás","2000",14.68,52
"78","Goiás","2010",11.79,52
"79","Distrito Federal","1991",6.16,53
"80","Distrito Federal","2000",5.54,53
"81","Distrito Federal","2010",6.59,53
